Date,NTFLX_Open,NTFLX_High,NTFLX_Low,NTFLX_Close,NTFLX_Volume,NSDQ_Open,NSDQ_High,NSDQ_Low,NSDQ_Close,NSDQ_Volume,Unemployment_rate,Interest_Rate
2017-03-29,145.5,147.179993,144.910004,146.470001,3855000,5875.350098,5900.870117,5870.930176,5897.549805,1718680000,4.4,0.79
2017-03-30,146.809998,148.289993,146.529999,148.059998,4461100,5896.149902,5916.77002,5894,5914.339844,1723770000,4.4,0.79
2017-03-31,148,148.229996,147.330002,147.809998,3888200,5905.629883,5927.810059,5901.77002,5911.740234,1902800000,4.4,0.79
2017-04-03,146.699997,148.009995,145.740005,146.919998,4609300,5917.319824,5928.930176,5867.72998,5894.680176,1854200000,4.5,0.9
2017-04-04,146.839996,147.089996,144.889999,145.5,4368900,5878.759766,5901.390137,5878.759766,5898.609863,1790840000,4.5,0.9
2017-04-05,146.190002,146.25,143.259995,143.619995,4607600,5911.919922,5936.390137,5856.259766,5864.47998,2204490000,4.5,0.9
2017-04-06,144,144.139999,143.009995,143.740005,3312400,5870.52002,5889.580078,5856.220215,5878.950195,1845800000,4.5,0.9
2017-04-07,143.789993,143.889999,142.710007,143.110001,3040500,5873.939941,5892.069824,5855.509766,5877.810059,1692150000,4.5,0.9
2017-04-10,143.039993,144.649994,141.210007,143.850006,5807400,5883.430176,5907.850098,5865.560059,5880.930176,1630070000,4.5,0.9
2017-04-11,144.279999,144.539993,141.979996,144.350006,4621500,5871.160156,5878.939941,5819.290039,5866.77002,1821650000,4.5,0.9
2017-04-12,144.850006,145.740005,143.550003,143.830002,4387000,5863.589844,5868.089844,5830.439941,5836.160156,1658960000,4.5,0.9
2017-04-13,144.25,144.550003,142.759995,142.919998,3685800,5828.370117,5856.540039,5805.149902,5805.149902,1581870000,4.5,0.9
2017-04-17,144.429993,147.320007,144.429993,147.25,16364700,5821.549805,5856.790039,5818.200195,5856.790039,1381290000,4.5,0.9
2017-04-18,147.339996,147.399994,140,143.360001,19671000,5838.589844,5860.040039,5828.569824,5849.470215,1608870000,4.5,0.9
2017-04-19,143.369995,144,138.660004,139.759995,12395100,5874.430176,5894.680176,5856.339844,5863.029785,1752620000,4.5,0.9
2017-04-20,140.300003,141.800003,139.270004,141.179993,7248200,5887.870117,5926.22998,5880.200195,5916.779785,1749110000,4.5,0.9
2017-04-21,141.389999,143.029999,140.899994,142.869995,6824800,5919.02002,5919.22998,5899.430176,5910.52002,1723210000,4.5,0.9
2017-04-24,143.610001,144.5,143.399994,143.830002,4800900,5979.959961,5989.919922,5970.25,5983.819824,1836570000,4.5,0.9
2017-04-25,147.460007,153.520004,146.220001,152.160004,20674200,6004.160156,6036.02002,6002.649902,6025.490234,1895430000,4.5,0.9
